iter	Passed	Remaining
0	135	135265
1	136	68175
2	137	45739
3	138	34520
4	139	27752
5	140	23229
6	141	20033
7	142	17637
8	143	15757
9	144	14264
10	144	13020
11	145	11979
12	146	11098
13	146	10337
14	147	9680
15	148	9106
16	148	8604
17	149	8161
18	150	7770
19	151	7416
20	152	7088
21	152	6788
22	153	6512
23	153	6260
24	154	6029
25	155	5817
26	155	5619
27	156	5432
28	157	5262
29	157	5099
30	158	4949
31	158	4809
32	159	4676
33	160	4550
34	160	4432
35	161	4323
36	162	4219
37	162	4120
38	163	4025
39	164	3936
40	164	3850
41	165	3773
42	166	3698
43	166	3624
44	167	3553
45	168	3486
46	168	3419
47	169	3357
48	169	3298
49	170	3239
50	171	3182
51	171	3128
52	172	3078
53	172	3028
54	173	2979
55	173	2932
56	174	2887
57	175	2844
58	175	2801
59	176	2760
60	176	2720
61	177	2682
62	177	2646
63	178	2610
64	179	2576
65	179	2545
66	180	2515
67	181	2485
68	181	2455
69	182	2425
70	183	2396
71	183	2368
72	184	2342
73	184	2314
74	185	2288
75	186	2263
76	186	2239
77	187	2215
78	188	2191
79	188	2168
80	189	2145
81	189	2122
82	189	2098
83	190	2076
84	190	2056
85	191	2036
86	192	2016
87	192	1997
88	193	1979
89	193	1961
90	194	1944
91	195	1931
92	196	1915
93	197	1899
94	197	1883
95	198	1866
96	198	1850
97	199	1835
98	200	1820
99	200	1805
100	201	1791
101	201	1777
102	202	1764
103	203	1751
104	203	1737
105	204	1724
106	205	1711
107	205	1698
108	206	1686
109	206	1674
110	207	1662
111	208	1650
112	208	1639
113	209	1628
114	210	1619
115	211	1608
116	211	1596
117	212	1586
118	212	1575
119	213	1564
120	213	1554
121	214	1542
122	215	1533
123	215	1523
124	216	1513
125	216	1504
126	217	1493
127	217	1484
128	218	1475
129	219	1466
130	219	1457
131	220	1449
132	221	1440
133	221	1432
134	222	1424
135	222	1415
136	223	1407
137	224	1399
138	224	1392
139	225	1386
140	226	1380
141	226	1371
142	227	1363
143	228	1355
144	228	1348
145	229	1340
146	229	1333
147	230	1325
148	230	1318
149	231	1311
150	231	1304
151	232	1296
152	233	1290
153	233	1284
154	234	1278
155	235	1272
156	235	1266
157	236	1259
158	237	1253
159	237	1247
160	238	1240
161	238	1234
162	239	1229
163	240	1224
164	241	1219
165	241	1214
166	242	1210
167	243	1205
168	244	1200
169	244	1195
170	245	1190
171	246	1185
172	246	1179
173	247	1174
174	248	1169
175	248	1164
176	249	1159
177	249	1154
178	250	1149
179	251	1144
180	251	1139
181	252	1133
182	252	1129
183	253	1124
184	254	1120
185	255	1116
186	255	1112
187	256	1108
188	257	1104
189	258	1100
190	258	1096
191	259	1092
